Fecha,Descripción,Categoría,Cantidad,Cuenta,Recurrente
2024-07-01,Alquiler julio,Alquiler & Gastos,-800.0,BBVA,Sí
2024-07-01,Sueldo de julio,Nómina,2500.0,BBVA,Sí
2024-07-05,Compra semanal,Compra super,-55.5,Revolut,No
2024-07-08,Café y desayuno,Restauración,-12.0,Revolut,No
2024-07-10,Clases de yoga,Deporte,-30.0,Revolut,Sí
2024-07-15,Transferencia a MyInvestor,Transferencias,-500.0,BBVA,No
2024-07-15,Transferencia de BBVA,Transferencias,500.0,MyInvestor,No
2024-07-18,Gasolina viaje,Viajes,-45.0,Revolut,No
2024-07-20,Cena con amigos,Restauración,-40.0,Revolut,No
2024-07-25,Suscripción Netflix,Suscripciones,-12.99,BBVA,Sí
2024-08-01,Alquiler agosto,Alquiler & Gastos,-800.0,BBVA,Sí
2024-08-01,Sueldo de agosto,Nómina,2500.0,BBVA,Sí
2024-08-03,Compra grande,Compra super,-120.0,Revolut,No
2024-08-05,Regalo de cumpleaños,Regalos,-50.0,Revolut,No
2024-08-10,Libro de programación,Libros,-25.0,Revolut,No